ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Female,Age (Youth bands): 25-29,Education (Aggregate levels): Intermediate,2021,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan,LFS - Labour Force Survey,"Youth unemployment rate by sex, age and education (%)",Female,Age (Youth bands): 25-29,Education (Aggregate levels): Advanced,2021,33.637,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 15-29,Education (Aggregate levels): Total,2025,18.98,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 15-29,Education (Aggregate levels): Less than basic,2025,14.558,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 15-29,Education (Aggregate levels): Basic,2025,22.246,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 15-29,Education (Aggregate levels): Intermediate,2025,39.24,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 15-29,Education (Aggregate levels): Advanced,2025,43.005,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 15-29,Education (Aggregate levels): Level not stated,2025,18.824,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 15-19,Education (Aggregate levels): Total,2025,16.508,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 15-19,Education (Aggregate levels): Less than basic,2025,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Total,Age (Youth bands): 15-19,Education (Aggregate levels): Basic,2025,16.814,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
